epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1138.66,0.8513,0.68357,1.0467,0.74922,0.59864,0.70689,0.47918,0.92726,1.01823,1.18681,0.000660045,0.000660045,0.000660045
43,1165.55,0.81907,0.66527,1.0377,0.7366,0.67065,0.73097,0.5181,0.92814,1.03549,1.20177,0.000649046,0.000649046,0.000649046
44,1192.16,0.81429,0.67371,1.04074,0.75211,0.57621,0.68151,0.48193,0.93412,1.02319,1.22177,0.000638047,0.000638047,0.000638047
45,1218.69,0.80637,0.66468,1.04077,0.74004,0.6175,0.71599,0.47472,0.94651,0.97551,1.23081,0.000627048,0.000627048,0.000627048
46,1245.2,0.79862,0.64338,1.02018,0.7758,0.67048,0.71784,0.50094,0.95502,1.02305,1.25596,0.000616049,0.000616049,0.000616049
47,1271.91,0.81652,0.68119,1.04477,0.76968,0.62819,0.73274,0.50493,0.93799,0.95712,1.22523,0.000605051,0.000605051,0.000605051
48,1298.89,0.79665,0.64101,1.02433,0.65763,0.58865,0.6385,0.44911,0.94261,1.18268,1.22529,0.000594052,0.000594052,0.000594052
49,1326.06,0.78549,0.64948,1.02015,0.75038,0.63282,0.71204,0.50598,0.92995,1.0407,1.20923,0.000583053,0.000583053,0.000583053
50,1352.52,0.79846,0.64205,1.03332,0.74277,0.64847,0.70558,0.45973,0.90316,1.08351,1.20654,0.000572054,0.000572054,0.000572054
51,1379.04,0.79913,0.6421,1.0317,0.81,0.65263,0.73587,0.49929,0.91189,0.98285,1.2254,0.000561055,0.000561055,0.000561055
52,1405.51,0.77251,0.61022,1.01375,0.69057,0.65422,0.66545,0.47002,0.92281,1.05922,1.21721,0.000550056,0.000550056,0.000550056
53,1432.07,0.78148,0.61477,1.01062,0.80509,0.59589,0.70871,0.49955,0.88344,0.99901,1.18189,0.000539057,0.000539057,0.000539057
54,1458.67,0.77677,0.61513,1.02339,0.67971,0.71668,0.72864,0.49633,0.90043,0.99109,1.18896,0.000528058,0.000528058,0.000528058
55,1485.41,0.75298,0.60703,1.01747,0.74343,0.62516,0.70506,0.50213,0.93083,1.0222,1.21485,0.000517059,0.000517059,0.000517059
56,1512.21,0.77114,0.61659,1.01419,0.7805,0.60426,0.72051,0.53299,0.90455,0.93782,1.20286,0.00050606,0.00050606,0.00050606
57,1539.11,0.74687,0.59324,1.01602,0.69611,0.63558,0.68314,0.50393,0.88917,1.02815,1.16787,0.000495062,0.000495062,0.000495062
58,1565.82,0.77672,0.60215,1.0193,0.81558,0.62261,0.74289,0.51938,0.89986,0.97799,1.21116,0.000484063,0.000484063,0.000484063
59,1592.59,0.74297,0.59222,1.0109,0.73675,0.67289,0.73202,0.52488,0.8918,0.93132,1.17766,0.000473064,0.000473064,0.000473064
60,1619.5,0.74218,0.5796,1.0061,0.80823,0.68953,0.72618,0.50957,0.90355,0.94204,1.20988,0.000462065,0.000462065,0.000462065
61,1646.24,0.7414,0.59042,1.00805,0.73591,0.64097,0.70684,0.49546,0.91945,0.96389,1.20688,0.000451066,0.000451066,0.000451066
62,1673.11,0.74105,0.55852,1.00227,0.74903,0.60531,0.67762,0.48253,0.92138,1.1173,1.22325,0.000440067,0.000440067,0.000440067
63,1700.02,0.73946,0.57952,1.00842,0.6428,0.68536,0.71747,0.51762,0.90328,0.99129,1.19698,0.000429068,0.000429068,0.000429068
64,1726.66,0.73845,0.55531,0.99532,0.76475,0.69774,0.7299,0.54102,0.92396,0.97839,1.23636,0.000418069,0.000418069,0.000418069
65,1753.96,0.73801,0.56181,0.99916,0.72707,0.66807,0.7131,0.51687,0.90122,1.01919,1.22079,0.00040707,0.00040707,0.00040707
66,1780.72,0.72217,0.54633,0.99602,0.82858,0.67495,0.76505,0.54717,0.92715,1.02047,1.21974,0.000396071,0.000396071,0.000396071
67,1807.34,0.72773,0.55281,1.00208,0.79423,0.68732,0.73218,0.51986,0.93121,0.97924,1.23128,0.000385073,0.000385073,0.000385073
68,1833.98,0.72248,0.54416,0.98775,0.68368,0.71983,0.71578,0.51212,0.91048,1.01743,1.21166,0.000374074,0.000374074,0.000374074
69,1860.4,0.72837,0.54322,0.98844,0.74857,0.71823,0.77594,0.54751,0.90455,0.92779,1.2152,0.000363075,0.000363075,0.000363075
70,1886.92,0.71193,0.53834,0.98759,0.77827,0.66581,0.74211,0.51692,0.93168,0.94383,1.21395,0.000352076,0.000352076,0.000352076
71,1913.65,0.71434,0.53878,0.99395,0.68594,0.66958,0.73367,0.51022,0.89539,1.00716,1.18943,0.000341077,0.000341077,0.000341077
72,1940.42,0.69495,0.52082,0.98089,0.73068,0.72876,0.75106,0.53621,0.90599,0.99148,1.19889,0.000330078,0.000330078,0.000330078
73,1967.1,0.71466,0.52268,0.99004,0.75705,0.61466,0.69968,0.49532,0.92825,1.02208,1.22272,0.000319079,0.000319079,0.000319079
74,1994.82,0.70192,0.52933,0.98736,0.73431,0.6599,0.72602,0.51982,0.89872,1.05072,1.20769,0.00030808,0.00030808,0.00030808
75,2021.78,0.69215,0.50573,0.98164,0.78392,0.65148,0.73408,0.5238,0.91998,1.05472,1.21426,0.000297081,0.000297081,0.000297081
76,2049.06,0.7024,0.51634,0.98746,0.7622,0.62196,0.71061,0.50588,0.92693,1.05791,1.2328,0.000286083,0.000286083,0.000286083
77,2076.04,0.70541,0.51899,0.99083,0.75035,0.69555,0.71245,0.51244,0.88483,0.98348,1.16847,0.000275084,0.000275084,0.000275084
78,2103.08,0.69319,0.50257,0.97741,0.70576,0.67576,0.73474,0.50442,0.91066,1.01143,1.19149,0.000264085,0.000264085,0.000264085
79,2129.61,0.68164,0.50018,0.98064,0.67087,0.69445,0.73422,0.52837,0.8891,0.94625,1.18783,0.000253086,0.000253086,0.000253086
80,2156.07,0.6985,0.50268,0.98409,0.77003,0.65801,0.73136,0.53035,0.86317,0.94448,1.16383,0.000242087,0.000242087,0.000242087
81,2182.61,0.67381,0.50038,0.9748,0.81742,0.68984,0.73497,0.52852,0.86994,1.00799,1.16828,0.000231088,0.000231088,0.000231088
82,2209.01,0.6756,0.48967,0.97782,0.78709,0.66748,0.72163,0.53213,0.85604,0.93835,1.16089,0.000220089,0.000220089,0.000220089
83,2235.87,0.68384,0.49881,0.97232,0.76923,0.67052,0.74011,0.52442,0.84861,0.9655,1.1443,0.00020909,0.00020909,0.00020909
84,2262.45,0.6701,0.48734,0.96713,0.7557,0.70147,0.73999,0.53044,0.86696,0.96366,1.16811,0.000198091,0.000198091,0.000198091
85,2288.96,0.66479,0.46772,0.96965,0.76263,0.67011,0.73159,0.51553,0.88368,1.00228,1.18006,0.000187092,0.000187092,0.000187092
86,2315.45,0.66252,0.47654,0.96347,0.75177,0.71649,0.73124,0.51895,0.88581,0.96646,1.19178,0.000176094,0.000176094,0.000176094
87,2342.04,0.67533,0.47224,0.96814,0.83108,0.64239,0.74886,0.52682,0.87722,0.95396,1.17795,0.000165095,0.000165095,0.000165095
88,2368.5,0.67441,0.47648,0.96179,0.80503,0.67983,0.75187,0.54881,0.86373,0.94035,1.17049,0.000154096,0.000154096,0.000154096
89,2395.03,0.65447,0.45834,0.95704,0.77639,0.68072,0.73698,0.53492,0.86862,0.96521,1.1789,0.000143097,0.000143097,0.000143097
90,2421.56,0.64743,0.4676,0.96677,0.80309,0.62242,0.70406,0.52196,0.88211,0.98394,1.18723,0.000132098,0.000132098,0.000132098
91,2485.17,0.63077,0.42525,0.94751,0.78127,0.66011,0.7057,0.49604,0.88673,1.00708,1.21613,0.000121099,0.000121099,0.000121099
92,2511.8,0.61018,0.40214,0.93698,0.80724,0.63139,0.72165,0.5277,0.87527,0.99435,1.19847,0.0001101,0.0001101,0.0001101
93,2538.1,0.60477,0.38397,0.93278,0.80789,0.63135,0.736,0.5127,0.88019,0.99986,1.19343,9.91012e-05,9.91012e-05,9.91012e-05
94,2564.27,0.60254,0.38547,0.93577,0.76801,0.67565,0.72351,0.52184,0.8848,1.03899,1.19835,8.81023e-05,8.81023e-05,8.81023e-05
95,2590.5,0.59242,0.37934,0.93142,0.79401,0.64653,0.71402,0.51049,0.88945,1.05127,1.19005,7.71034e-05,7.71034e-05,7.71034e-05
96,2616.71,0.59995,0.38166,0.9305,0.79099,0.61756,0.70874,0.51611,0.89001,1.04052,1.18737,6.61045e-05,6.61045e-05,6.61045e-05
97,2643.03,0.58602,0.37262,0.9248,0.73214,0.68496,0.70805,0.51445,0.87806,1.06147,1.18534,5.51056e-05,5.51056e-05,5.51056e-05
98,2669.47,0.58361,0.37164,0.92708,0.73555,0.67766,0.70874,0.50911,0.8791,1.06529,1.19363,4.41067e-05,4.41067e-05,4.41067e-05
99,2696.15,0.58878,0.37667,0.93184,0.78844,0.63346,0.7088,0.50976,0.87429,1.04917,1.18479,3.31078e-05,3.31078e-05,3.31078e-05
100,2722.57,0.56415,0.3609,0.92203,0.82096,0.60542,0.7138,0.5146,0.87324,1.05568,1.1904,2.21089e-05,2.21089e-05,2.21089e-05
