epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8445.34,1.58453,1.68941,1.64082,0.39133,0.3979,0.409,0.2246,1.64096,1.76616,1.83469,0.005842,0.005842,0.005842
44,8640.15,1.57964,1.69497,1.63578,0.4136,0.32634,0.37442,0.21283,1.61647,1.83486,1.83456,0.005743,0.005743,0.005743
45,8835.49,1.58677,1.68174,1.64519,0.44736,0.3892,0.40912,0.22998,1.6396,1.8146,1.86471,0.005644,0.005644,0.005644
46,9030.6,1.5865,1.67715,1.63242,0.41271,0.49592,0.41534,0.22714,1.64688,1.69498,1.83974,0.005545,0.005545,0.005545
47,9225.74,1.57852,1.67035,1.62872,0.37218,0.50796,0.39739,0.22325,1.64535,1.75252,1.83765,0.005446,0.005446,0.005446
48,9421.26,1.57599,1.6616,1.62394,0.37992,0.4186,0.39927,0.22274,1.63671,1.77709,1.82923,0.005347,0.005347,0.005347
49,9616.27,1.56607,1.65387,1.62765,0.36804,0.41691,0.38311,0.2137,1.68207,1.74208,1.89912,0.005248,0.005248,0.005248
50,9811.35,1.57017,1.64503,1.62228,0.32968,0.51568,0.40085,0.21447,1.63869,1.78309,1.83599,0.005149,0.005149,0.005149
51,10006,1.57397,1.65465,1.62474,0.44998,0.41205,0.42739,0.22618,1.62599,1.67103,1.84417,0.00505,0.00505,0.00505
52,10200.9,1.56598,1.64538,1.62724,0.41704,0.40911,0.40366,0.22196,1.65069,1.72776,1.83998,0.004951,0.004951,0.004951
53,10396.2,1.56605,1.64741,1.62253,0.36896,0.45899,0.40809,0.22743,1.61439,1.67376,1.81558,0.004852,0.004852,0.004852
54,10590.7,1.5566,1.63061,1.6142,0.38405,0.45221,0.41795,0.22579,1.64101,1.69193,1.85642,0.004753,0.004753,0.004753
55,10786.9,1.56303,1.62196,1.61613,0.4342,0.42395,0.43138,0.23526,1.645,1.71979,1.84259,0.004654,0.004654,0.004654
56,10982,1.55727,1.63604,1.616,0.44531,0.41205,0.42379,0.23667,1.64848,1.68119,1.83564,0.004555,0.004555,0.004555
57,11177,1.54828,1.61335,1.60489,0.41741,0.53411,0.44072,0.24172,1.60553,1.70297,1.81389,0.004456,0.004456,0.004456
58,11405.3,1.54687,1.6022,1.60703,0.44499,0.44449,0.41822,0.23383,1.62573,1.68124,1.83018,0.004357,0.004357,0.004357
59,11648.4,1.53996,1.59004,1.6042,0.408,0.51775,0.44306,0.24615,1.61274,1.69125,1.82464,0.004258,0.004258,0.004258
60,11880.5,1.54243,1.59976,1.60266,0.42739,0.48335,0.43588,0.24151,1.62149,1.6793,1.82469,0.004159,0.004159,0.004159
61,12076,1.54265,1.58867,1.60018,0.4071,0.48921,0.42436,0.23523,1.60852,1.72124,1.81048,0.00406,0.00406,0.00406
