epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,627.793,0.9557,0.37952,1.09657,0.9783,0.95142,0.97898,0.68608,1.16137,0.43997,1.17888,0.000666163,0.000666163,0.000666163
2,1160.41,0.98219,0.40772,1.11162,0.97805,0.93996,0.97639,0.67813,1.14836,0.46192,1.17381,0.00120088,0.00120088,0.00120088
3,1692.09,1.0041,0.42475,1.12715,0.97947,0.93993,0.97582,0.66807,1.21676,0.46988,1.21887,0.0016036,0.0016036,0.0016036
4,2218.23,1.00388,0.42518,1.1212,0.97343,0.94524,0.97479,0.67693,1.17136,0.46865,1.18369,0.001406,0.001406,0.001406
5,2738.24,0.98898,0.41419,1.11471,0.98524,0.93923,0.9771,0.67521,1.18625,0.44713,1.19439,0.001208,0.001208,0.001208
6,3297.65,0.97007,0.39735,1.1049,0.97863,0.945,0.97501,0.674,1.1649,0.44163,1.1809,0.00101,0.00101,0.00101
7,3818.15,0.95231,0.38214,1.09259,0.98043,0.94747,0.97742,0.68585,1.15273,0.42831,1.17243,0.000812,0.000812,0.000812
8,4334.44,0.94147,0.37225,1.08765,0.98024,0.95263,0.97874,0.69471,1.13638,0.41319,1.15782,0.000614,0.000614,0.000614
9,4843.49,0.92893,0.35954,1.07598,0.98062,0.94954,0.97902,0.69185,1.13958,0.40785,1.15989,0.000416,0.000416,0.000416
10,5365.36,0.92594,0.35238,1.06968,0.97411,0.95826,0.98067,0.69341,1.13678,0.40129,1.15666,0.000218,0.000218,0.000218
