epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,622.97,0.98879,0.40133,1.11363,0.97956,0.94431,0.97796,0.67851,1.16956,0.45836,1.18467,0.000666163,0.000666163,0.000666163
2,1149.96,1.03309,0.44177,1.1414,0.97572,0.94043,0.97494,0.66769,1.19551,0.47654,1.19652,0.00120088,0.00120088,0.00120088
3,1682.82,1.05171,0.46044,1.15681,0.95387,0.94325,0.97019,0.63827,1.27448,0.50547,1.2458,0.0016036,0.0016036,0.0016036
4,2331.82,1.04582,0.45672,1.14668,0.9807,0.93527,0.97413,0.67671,1.17461,0.47804,1.17981,0.001406,0.001406,0.001406
5,2839.42,1.02824,0.44038,1.13835,0.98522,0.94184,0.97902,0.66767,1.19256,0.45648,1.19462,0.001208,0.001208,0.001208
6,3344.57,1.00984,0.42367,1.13207,0.98099,0.94389,0.97719,0.67344,1.17414,0.45564,1.18771,0.00101,0.00101,0.00101
7,3850.12,0.98987,0.4052,1.11702,0.97802,0.94371,0.97932,0.68454,1.14744,0.44116,1.17273,0.000812,0.000812,0.000812
8,4354.14,0.97864,0.39485,1.11277,0.98011,0.94758,0.98092,0.68601,1.15401,0.43203,1.17138,0.000614,0.000614,0.000614
9,4856.58,0.96253,0.37888,1.09805,0.97808,0.95028,0.98196,0.69454,1.14617,0.41176,1.16024,0.000416,0.000416,0.000416
10,7041.38,0.94712,0.36537,1.09148,0.97493,0.95966,0.98323,0.69375,1.12864,0.40727,1.15324,0.000218,0.000218,0.000218
